Region,Product,Revenue,Units,Customers,Quarter
North,Product A,1250000,5200,428,Q2 2025
North,Product B,890000,3560,312,Q2 2025
North,Product C,520000,2080,175,Q2 2025
South,Product A,980000,4100,350,Q2 2025
South,Product B,1340000,5360,462,Q2 2025
South,Product C,650000,2600,220,Q2 2025
East,Product A,1080000,4500,385,Q2 2025
East,Product B,760000,3040,261,Q2 2025
East,Product C,430000,1720,148,Q2 2025
West,Product A,1420000,5920,510,Q2 2025
West,Product B,960000,3840,330,Q2 2025
West,Product C,720000,2880,246,Q2 2025
